Stock,Percentage Change
BAJAJ-AUTO.NS,22.10701715617281
BAJAJFINSV.NS,19.64297347467919
BHARTIARTL.NS,18.120965473682755
DIVISLAB.NS,15.404975761942172
HEROMOTOCO.NS,14.660401799501347
ICICIBANK.NS,13.480860280847114
BAJFINANCE.NS,12.797149370824545
TITAN.NS,9.275088718692015
HINDUNILVR.NS,8.235039159852048
BRITANNIA.NS,7.713587274369561
NESTLEIND.NS,7.188804797622593
INDUSINDBK.NS,7.159914489806559
JSWSTEEL.NS,7.021747987200831
AXISBANK.NS,6.592465753424658
ASIANPAINT.NS,6.565803145332513
M&M.NS,6.478910463125411
HDFCBANK.NS,6.319838986741093
LT.NS,6.19139458098964
SBILIFE.NS,6.185768929284052
SUNPHARMA.NS,5.62742524346509
KOTAKBANK.NS,5.474481447090753
CIPLA.NS,4.850116774625558
DMART.NS,4.751724682908484
NTPC.NS,4.3569260817307836
HCLTECH.NS,4.345637991885282
ADANIGREEN.NS,4.122933419542413
ULTRACEMCO.NS,3.9525238698399674
UPL.NS,3.700423963340313
MARUTI.NS,3.270990043339085
HINDALCO.NS,3.195125459940567
ITC.NS,3.127513432812797
WIPRO.NS,2.754207662148293
INFY.NS,1.7920120555031986
SHREECEM.NS,1.662512255132308
EICHERMOT.NS,1.6362033961757025
GRASIM.NS,1.575835309196186
POWERGRID.NS,0.10279180719988987
TECHM.NS,-0.40218143534332107
RELIANCE.NS,-0.6701362125047594
TATASTEEL.NS,-1.240816276359651
IOC.NS,-3.0076019301398524
ADANIPORTS.NS,-3.6079257575670836
SBIN.NS,-4.70559260762534
BPCL.NS,-5.208924444012776
TCS.NS,-5.27048642888309
DRREDDY.NS,-5.946581141009308
COALINDIA.NS,-6.414404297545342
TATAMOTORS.NS,-10.67715946466064
ONGC.NS,-12.610281324228376
HDFC.NS,
